appid,linux,mac,windows
15370,0,0,1
15380,0,0,1
15390,0,0,1
15400,1,1,1
15500,0,0,1
15520,0,0,1
15560,1,1,1
15620,1,1,1
15700,0,0,1
15710,0,0,1
15740,0,0,1
15750,0,0,1
15800,0,0,1
15900,0,0,1
15910,0,0,1
15920,0,0,1
15930,0,0,1
15960,0,0,1
15970,0,1,1
16000,0,0,1
16020,0,0,1
16030,0,0,1
16040,0,0,1
16060,0,0,1
16100,0,0,1
16110,0,0,1
16120,0,0,1
16130,0,0,1
16180,0,0,1
16200,0,0,1
16450,0,0,1
16500,0,0,1
16600,0,0,1
16620,0,1,1
16710,0,0,1
16720,0,1,1
16730,0,0,1
16810,0,1,1
16900,0,0,1
17080,0,0,1
17100,0,0,1
17120,0,0,1
17140,0,0,1
17180,0,0,1
17300,0,0,1
17330,0,0,1
17390,0,0,1
17410,0,0,1
17430,0,0,1
17440,0,0,1
17450,0,0,1
17460,0,0,1
17470,0,0,1
17480,0,0,1
17500,1,0,1
17570,1,1,1
17710,1,1,1
17740,1,0,1
18000,0,0,1
18020,0,0,1
18040,0,1,1
18050,0,1,1
18070,0,1,1
18120,0,1,1
18300,1,1,1
18400,0,0,1
18420,0,0,1
18470,0,0,1
18480,0,0,1
18500,0,0,1
18600,0,0,1
18700,1,1,1
18820,0,0,1
19000,0,0,1
19020,0,0,1
19030,0,0,1
19080,0,0,1
19200,0,0,1
19320,0,0,1
19500,0,0,1
19800,0,0,1
19830,0,0,1
19900,0,0,1
19980,0,0,1
20200,0,0,1
20510,0,0,1
20530,0,0,1
20540,0,0,1
20550,0,0,1
20570,1,1,1
20700,0,0,1
20710,0,0,1
20820,1,1,1
20900,0,1,1
20920,1,1,1
21000,0,0,1
21010,0,0,1
21030,0,0,1
21090,0,0,1
21100,0,0,1
21130,0,0,1
21300,0,0,1
21400,0,0,1
21500,0,0,1
21640,0,0,1
21660,0,0,1
21670,0,0,1
21680,0,0,1
21690,0,0,1
21780,0,0,1
21800,0,0,1
21980,0,0,1
22000,1,1,1
22100,0,0,1
22120,1,1,1
22130,0,0,1
22180,1,1,1
22200,0,0,1
22230,0,0,1
22300,0,0,1
22310,0,0,1
22320,0,0,1
22330,0,0,1
22350,0,0,1
22370,0,0,1
22380,0,0,1
22450,0,0,1
22500,0,0,1
22600,1,1,1
22610,0,0,1
22650,0,0,1
22670,0,0,1
23150,0,0,1
23300,0,0,1
23380,0,0,1
23400,0,0,1
23420,0,0,1
23450,0,0,1
23460,0,0,1
23490,0,0,1
23500,0,0,1
23530,0,0,1
23600,1,1,1
23700,0,0,1
24010,0,0,1
24200,0,0,1
24240,0,0,1
24400,0,0,1
24410,0,0,1
24420,1,0,1
24460,0,0,1
24480,0,0,1
24640,0,0,1
24650,0,0,1
24670,0,0,1
24720,0,0,1
24740,0,0,1
24780,0,1,1
24790,0,0,1
24800,0,0,1
24810,0,0,1
24840,0,0,1
24870,0,0,1
24960,0,0,1
24980,0,0,1
25000,1,1,1
25010,1,1,1
25500,0,0,1
25600,1,1,1
25620,1,1,1
25700,0,1,1
25800,0,1,1
25830,0,0,1
25850,0,0,1
25890,0,1,1
25900,0,1,1
25910,0,0,1
25930,0,0,1
25980,0,0,1
25990,0,0,1
26000,0,0,1
26300,0,0,1
26800,1,1,1
26900,0,1,1
27000,0,1,1
27020,1,1,1
27050,0,1,1
27200,0,0,1
27330,0,0,1
27400,0,1,1
27600,0,0,1
27800,0,0,1
27810,0,0,1
27900,0,0,1
27920,0,0,1
27940,0,0,1
28000,0,0,1
29120,0,0,1
29130,0,0,1
29160,1,1,1
29180,1,1,1
29800,0,1,1
29900,0,0,1
31270,0,1,1
31300,0,0,1
31800,0,0,1
31810,0,0,1
31820,0,0,1
31830,0,0,1
31840,0,0,1
31850,0,0,1
31860,0,0,1
31870,0,0,1
31880,0,0,1
31890,0,0,1
31900,0,0,1
31910,0,0,1
31920,0,0,1
31930,0,0,1
31980,0,0,1
32000,0,0,1
32110,0,1,1
32120,0,0,1
32140,0,0,1
32150,0,0,1
32160,0,0,1
32200,0,0,1
32310,0,1,1
32330,0,0,1
32340,0,1,1
32350,0,0,1
32360,0,0,1
32370,0,1,1
32380,0,0,1
32390,0,0,1
32400,0,1,1
32410,0,0,1
32420,0,0,1
32430,0,1,1
32440,0,1,1
32450,0,0,1
32460,0,0,1
32470,0,0,1
32500,0,0,1
32510,0,0,1
32610,0,0,1
32620,0,0,1
32630,0,0,1
32640,0,0,1
32650,0,0,1
32660,0,0,1
32670,0,0,1
32680,0,0,1
32710,0,0,1
32720,0,0,1
32730,0,0,1
32740,0,0,1
32750,0,0,1
32760,0,0,1
32770,0,0,1
32900,0,0,1
33100,0,0,1
33110,0,0,1
33120,0,0,1
33130,0,0,1
33180,0,0,1
33230,0,0,1
33320,0,0,1
33390,0,0,1
33460,0,0,1
33520,0,0,1
33570,0,0,1
33600,1,1,1
33610,0,0,1
33620,0,0,1
33650,0,0,1
33660,0,0,1
33670,0,0,1
33680,1,1,1
33760,0,0,1
33770,0,0,1
33790,0,1,1
33900,0,0,1
33930,0,0,1
33950,0,0,1
33980,0,0,1
33990,0,0,1
34010,0,0,1
34030,0,1,1
34190,0,0,1
34410,0,0,1
34420,0,0,1
34500,0,0,1
34600,0,0,1
34630,0,0,1
34640,0,0,1
34800,0,0,1
34810,0,0,1
34820,0,0,1
34830,0,0,1
34870,0,0,1
34900,0,0,1
34920,0,0,1
35000,0,0,1
35070,0,0,1
35130,0,0,1
35140,0,1,1
35300,0,0,1
35310,0,0,1
35320,0,0,1
35450,0,0,1
35460,0,0,1
35480,1,1,1
35600,0,0,1
35700,1,1,1
35720,1,1,1
35800,0,1,1
36000,0,1,1
36100,0,0,1
36130,0,0,1
36180,0,0,1
36210,0,0,1
36240,0,0,1
36300,0,0,1
36310,0,0,1
36320,0,0,1
36900,0,0,1
36910,0,0,1
37000,0,0,1
37010,0,0,1
37030,0,0,1
37100,0,1,1
37210,0,1,1
37220,0,1,1
37230,0,1,1
37240,0,1,1
37260,0,0,1
37270,0,1,1
37280,0,1,1
37300,0,1,1
37310,0,1,1
37320,0,1,1
37330,0,1,1
37340,0,1,1
37370,0,1,1
37380,0,1,1
37390,0,1,1
37400,0,0,1
37500,0,0,1
37600,0,1,1
37700,0,0,1
37800,0,1,1
37960,0,0,1
38000,0,0,1
38070,0,0,1
38080,0,0,1
38090,0,0,1
38100,0,0,1
38110,0,0,1
38120,0,0,1
38130,0,0,1
38140,0,0,1
38150,0,0,1
38160,0,0,1
38170,0,0,1
38180,0,0,1
38190,0,0,1
38210,0,0,1
38230,0,0,1
38400,0,0,1
38410,0,0,1
38420,0,0,1
38430,0,0,1
38450,0,0,1
38460,0,0,1
38490,0,0,1
38600,0,1,1
38700,1,1,1
38720,1,1,1
38740,1,1,1
39000,0,0,1
39110,0,0,1
39120,0,0,1
39140,0,0,1
39150,0,0,1
39190,0,0,1
39200,0,0,1
39210,0,0,1
39500,0,0,1
39510,0,0,1
39520,0,0,1
39540,0,0,1
39560,0,0,1
39630,0,0,1
39640,0,0,1
39650,0,0,1
39660,0,0,1
39670,0,0,1
39680,0,0,1
39690,0,0,1
39800,1,1,1
39900,0,0,1
40100,0,0,1
40200,0,0,1
40210,0,0,1
40300,0,0,1
40320,0,0,1
40330,0,0,1
40340,0,0,1
40350,0,0,1
40380,0,0,1
40390,0,0,1
40400,1,1,1
40420,1,1,1
40500,0,0,1
40700,0,1,1
40720,0,0,1
40930,0,0,1
40950,0,0,1
40970,0,0,1
40980,0,0,1
40990,0,0,1
41000,0,0,1
41070,1,1,1
41100,1,1,1
41300,1,1,1
41400,0,0,1
41500,0,1,1
41600,0,0,1
41660,0,0,1
41680,0,0,1
41700,0,0,1
41740,0,0,1
41800,1,1,1
41900,1,1,1
42000,0,0,1
42120,0,0,1
42140,0,0,1
42170,0,1,1
42210,0,1,1
42220,0,1,1
42230,0,1,1
42500,0,0,1
42670,0,0,1
42700,0,0,1
42810,0,0,1
42850,0,0,1
42890,0,0,1
42910,0,0,1
42920,0,0,1
42930,0,0,1
42940,0,0,1
42950,0,0,1
42960,0,0,1
42980,0,0,1
42990,0,0,1
43000,0,0,1
43100,0,0,1
43190,0,0,1
43500,0,0,1
43600,0,0,1
44100,0,0,1
44350,0,0,1
44360,0,0,1
44600,0,0,1
44680,0,0,1
44690,0,0,1
45000,0,0,1
45100,1,1,1
45300,0,0,1
45400,0,1,1
45410,0,0,1
45420,0,1,1
45450,1,1,1
45700,0,0,1
45710,0,0,1
45720,0,0,1
45730,0,0,1
45740,0,0,1
45750,0,0,1
45760,0,0,1
45770,0,0,1
46000,0,1,1
46200,0,0,1
46250,0,0,1
46260,0,0,1
46270,0,0,1
46280,0,0,1
46290,0,0,1
46340,0,0,1
46350,0,0,1
46360,0,0,1
46370,0,0,1
46380,0,0,1
46400,0,0,1
46410,0,0,1
46440,0,0,1
46450,0,0,1
46480,0,0,1
46490,0,0,1
46500,0,1,1
46510,0,1,1
46520,0,0,1
46540,0,0,1
46550,0,0,1
46570,0,0,1
46600,0,0,1
46700,0,0,1
46710,0,0,1
46720,0,0,1
46730,0,0,1
46740,0,0,1
46750,0,0,1
46760,0,0,1
46770,1,1,1
46790,0,0,1
46830,0,0,1
46840,0,0,1
46850,0,0,1
47110,0,0,1
47120,0,0,1
47130,0,0,1
47400,1,1,1
47410,0,0,1
47700,0,0,1
47730,0,0,1
47780,0,0,1
47790,0,0,1
47800,0,0,1
47810,0,0,1
47870,0,0,1
47890,0,0,1
47920,0,0,1
48000,1,1,1
48110,0,0,1
48150,0,0,1
48190,0,0,1
48240,0,0,1
48700,1,1,1
48720,0,0,1
48800,0,0,1
48950,0,0,1
49000,0,1,1
49300,0,0,1
49320,0,0,1
49470,0,0,1
49520,1,1,1
49600,1,1,1
49800,0,1,1
49810,0,1,1
49900,0,0,1
50000,0,0,1
50130,0,1,1
50300,1,1,1
50510,0,0,1
50910,0,1,1
50920,0,0,1
50930,0,0,1
50940,0,0,1
50960,0,0,1
50970,0,0,1
50980,0,0,1
50990,0,0,1
51000,0,0,1
51010,0,1,1
51020,0,1,1
51030,0,1,1
51060,0,0,1
55000,1,1,1
55040,1,1,1
55100,0,0,1
55110,0,0,1
55140,0,0,1
55150,0,0,1
55230,1,0,1
57000,0,1,1
57200,0,1,1
57300,1,1,1
57620,0,0,1
57640,1,1,1
57650,0,0,1
57680,0,0,1
57690,0,1,1
57700,0,0,1
57740,1,1,1
57800,0,1,1
57900,0,1,1
58200,0,1,1
58230,0,1,1
58400,0,0,1
58520,0,0,1
58550,0,0,1
58560,0,0,1
58570,0,1,1
58610,1,1,1
60340,0,1,1
60350,0,1,1
60600,0,0,1
60700,0,1,1
60800,0,0,1
61100,0,0,1
61310,0,1,1
61500,0,0,1
61510,0,0,1
61520,0,0,1
61600,1,1,1
61700,0,0,1
61730,0,1,1
62000,0,1,1
62100,0,0,1
63000,1,1,1
63110,0,0,1
63200,0,0,1
63500,0,1,1
63610,0,1,1
63650,0,1,1
63660,0,1,1
63700,0,1,1
63710,0,1,1
63800,0,0,1
63900,0,0,1
63910,0,0,1
63940,0,0,1
63960,0,0,1
64000,0,0,1
65070,0,0,1
65080,0,1,1
65270,0,0,1
65400,0,0,1
65500,0,0,1
65530,0,0,1
65540,0,0,1
65560,0,0,1
65600,0,0,1
65610,0,0,1
65710,0,0,1
65730,0,0,1
65740,0,0,1
65780,0,0,1
65790,0,0,1
65800,1,1,1
65930,0,1,1
65980,1,1,1
67000,1,1,1
67370,0,1,1
70000,0,0,1
70100,1,1,1
70110,1,1,1
70120,1,1,1
70200,0,0,1
70210,0,0,1
70300,1,1,1
70400,0,0,1
70420,0,0,1
70500,0,1,1
70600,0,0,1
70620,0,1,1
70640,0,0,1
70650,0,0,1
70660,0,0,1
70900,0,0,1
71000,0,0,1
71230,0,0,1
71240,0,0,1
71260,0,0,1
71340,0,0,1
72000,1,0,1
72400,0,0,1
72850,0,0,1
72900,0,0,1
73010,1,1,1
73060,0,0,1
73170,0,0,1
73190,0,0,1
73210,0,0,1
73220,0,0,1
78000,0,1,1
80000,0,0,1
80200,0,1,1
80300,0,0,1
80310,1,1,1
80330,1,1,1
80340,1,1,1
80350,1,1,1
80360,0,0,1
90200,0,1,1
90400,0,0,1
91100,0,0,1
91200,1,1,1
91330,0,0,1
91600,0,1,1
91700,0,0,1
91800,0,0,1
91810,0,0,1
91900,0,0,1
92000,0,0,1
92100,0,0,1
92200,0,0,1
92210,0,0,1
92220,0,0,1
92300,0,0,1
92400,0,0,1
92600,0,0,1
92700,0,0,1
92800,1,1,1
92900,0,0,1
93200,1,1,1
94000,0,0,1
94200,0,1,1
94300,0,1,1
94400,0,1,1
94590,0,1,1
94620,0,1,1
95000,1,1,1
95300,1,1,1
95400,1,1,1
95700,0,1,1
95900,0,0,1
96000,1,1,1
96100,0,0,1
96200,1,0,1
96800,0,0,1
96900,0,0,1
97000,1,1,1
97100,0,0,1
97110,0,0,1
97120,0,0,1
97130,0,0,1
97330,0,0,1
98100,0,1,1
98200,1,1,1
98300,0,0,1
98400,0,0,1
98500,0,0,1
98600,0,1,1
98800,1,1,1
98900,0,0,1
99100,0,0,1
99120,0,0,1
99300,0,0,1
99400,0,0,1
99410,0,0,1
99700,1,1,1
99900,0,1,1
99910,0,1,1
100980,0,0,1
102200,0,0,1
102400,0,1,1
102500,0,0,1
102600,0,0,1
102810,0,0,1
102840,1,1,1
102850,0,0,1
104000,0,1,1
104020,0,1,1
104100,0,1,1
104200,0,0,1
104900,0,0,1
105000,0,1,1
105100,0,1,1
105300,0,1,1
105420,0,0,1
105450,0,0,1
105600,1,1,1
105700,0,0,1
105800,0,0,1
107100,1,1,1
107200,1,1,1
107300,0,0,1
107310,0,0,1
107410,0,0,1
107600,0,0,1
108110,0,0,1
108200,1,1,1
108210,0,0,1
108500,0,0,1
108600,1,1,1
108700,0,0,1
108710,0,0,1
108800,0,0,1
109200,0,0,1
109500,0,0,1
109600,0,0,1
109700,0,0,1
110400,0,0,1
110500,0,1,1
110600,0,0,1
110610,0,0,1
110630,0,0,1
110800,0,0,1
111000,1,1,1
111010,1,1,1
111100,1,1,1
111400,0,0,1
111600,0,0,1
112100,1,1,1
113020,1,1,1
113200,0,1,1
113400,0,0,1
113420,0,0,1
115100,1,1,1
115110,1,1,1
115120,0,0,1
115200,0,0,1
115210,0,0,1
115220,0,0,1
115320,0,0,1
115800,1,1,1
116100,0,1,1
200010,0,0,1
200020,0,0,1
200080,0,1,1
200130,0,0,1
200150,0,0,1
200170,0,0,1
200190,0,0,1
200210,0,1,1
200230,0,0,1
200260,0,1,1
200370,0,0,1
200390,1,1,1
200410,0,0,1
200490,0,0,1
200510,1,1,1
200550,0,0,1
200670,0,0,1
200710,1,1,1
200900,1,0,1
200960,0,0,1
200980,0,0,1
200990,0,0,1
201000,0,0,1
201010,0,0,1
201070,0,0,1
201210,0,1,1
201230,0,0,1
201290,0,0,1
201420,1,1,1
201480,0,0,1
201490,0,0,1
201510,0,0,1
201570,0,0,1
201790,0,0,1
201810,0,0,1
201870,0,0,1
202130,0,0,1
202200,0,0,1
202310,0,0,1
202370,0,0,1
202410,0,1,1
202670,0,1,1
202690,0,0,1
202710,0,0,1
202730,1,1,1
202750,0,0,1
202860,0,0,1
202970,0,0,1
203140,0,1,1
203160,1,1,1
203210,1,1,1
203290,0,0,1
203350,0,1,1
203510,0,0,1
203560,1,1,1
203630,0,0,1
203650,0,0,1
203680,0,0,1
203750,0,0,1
203770,1,1,1
203830,0,1,1
203990,1,0,1
204030,0,0,1
204060,1,1,1
204100,0,0,1
204120,0,0,1
204180,1,1,1
204220,1,1,1
204240,1,1,1
204300,1,1,1
204340,0,0,1
204360,0,1,1
204390,0,0,1
204440,0,1,1
204530,0,1,1
204560,0,0,1
204580,0,0,1
204630,1,1,1
204760,0,0,1
204860,0,0,1
204880,0,0,1
204940,0,0,1
204960,0,0,1
205020,0,1,1
205060,0,1,1
205070,0,1,1
205080,0,1,1
205090,0,1,1
205100,0,0,1
205190,0,0,1
205230,0,0,1
205270,0,0,1
205530,0,1,1
205550,0,1,1
205610,0,0,1
205650,0,0,1
205690,0,1,1
205710,0,0,1
205730,1,1,1
205810,0,0,1
205830,0,0,1
205840,0,0,1
205870,0,1,1
205910,1,1,1
205950,0,0,1
205990,1,1,1
206020,0,0,1
206040,0,0,1
206060,0,0,1
206190,1,1,1
206210,0,0,1
206230,0,0,1
206250,0,0,1
206370,1,1,1
206410,0,0,1
206420,1,0,1
206440,1,1,1
206480,0,1,1
206500,0,0,1
206610,0,1,1
206690,1,1,1
207000,0,1,1
207020,0,0,1
207080,0,1,1
207140,1,1,1
207170,1,1,1
207190,0,0,1
207230,0,0,1
207250,1,1,1
207320,0,0,1
207350,0,0,1
207370,0,0,1
207380,0,0,1
207400,0,0,1
207420,1,1,1
207430,0,1,1
207490,0,0,1
207530,0,0,1
207570,1,1,1
207650,1,1,1
207670,0,1,1
207690,0,1,1
207710,0,1,1
207730,0,0,1
207750,1,1,1
207790,0,0,1
207930,0,0,1
208110,0,1,1
208140,0,1,1
208200,0,0,1
208400,0,1,1
208460,0,0,1
208500,0,0,1
208520,0,1,1
208580,1,1,1
208600,0,1,1
208620,0,0,1
208630,0,0,1
208640,0,0,1
208650,0,0,1
208670,0,1,1
208710,0,0,1
208730,0,0,1
208750,1,1,1
209000,0,0,1
209060,1,0,1
209080,1,1,1
209100,0,0,1
209120,0,0,1
209160,0,0,1
209190,1,1,1
209230,0,0,1
209330,1,1,1
209360,0,0,1
209370,1,1,1
209390,0,0,1
209520,0,0,1
209540,1,1,1
209610,0,0,1
209630,0,0,1
209650,0,0,1
209670,0,1,1
209690,0,1,1
209730,0,0,1
209750,0,0,1
209790,1,1,1
209830,0,1,1
209850,0,1,1
209950,0,1,1
210170,1,1,1
210230,0,1,1
210770,1,1,1
210870,0,0,1
210950,0,0,1
210970,0,1,1
211010,0,0,1
211160,0,0,1
211180,1,1,1
211260,1,1,1
211280,0,0,1
211340,1,1,1
211360,0,1,1
211400,0,0,1
211440,1,1,1
211500,0,0,1
211580,0,0,1
211600,0,0,1
211740,0,0,1
211780,0,0,1
211800,0,0,1
211820,1,1,1
211900,1,1,1
211970,0,0,1
212010,0,0,1
212030,0,0,1
212050,0,0,1
212070,1,1,1
212110,0,0,1
212160,0,0,1
212390,0,0,1
212500,0,1,1
212630,0,0,1
212680,1,1,1
212700,0,0,1
212780,0,1,1
212800,1,1,1
213030,0,1,1
213330,0,0,1
213350,0,0,1
213390,0,0,1
213610,0,0,1
213650,0,1,1
213670,0,0,1
213850,0,0,1
214100,0,0,1
214130,0,0,1
214150,0,0,1
214170,0,0,1
214250,0,0,1
214340,1,1,1
214360,0,1,1
214420,1,1,1
214490,1,1,1
214550,1,1,1
214570,0,0,1
214590,0,0,1
214610,0,0,1
214630,0,1,0
214700,0,1,1
214730,0,0,1
214770,1,1,1
214790,0,1,1
214830,0,0,1
214870,1,1,1
214910,0,1,1
214950,0,1,1
214970,1,0,1
215080,1,1,1
215160,1,1,1
215280,0,0,1
215390,0,0,1
215470,0,0,1
215510,1,1,1
215530,0,0,1
215550,0,1,1
215630,0,0,1
215670,0,1,1
215690,0,0,1
215710,0,0,1
215770,0,0,1
215790,0,1,1
215830,0,0,1
215870,0,0,1
215930,1,1,1
216090,0,0,1
216110,0,1,1
216130,0,1,1
216150,0,0,1
216210,0,0,1
216260,0,0,1
216290,1,1,1
216670,0,0,1
216890,0,0,1
216910,0,0,1
216930,0,0,1
217120,0,0,1
217140,0,0,1
217200,0,0,1
217270,0,0,1
217290,1,1,1
217690,1,1,1
217750,0,0,1
217790,0,0,1
217920,0,0,1
218020,0,0,1
218040,0,1,1
218060,1,1,1
218090,1,1,1
218230,0,0,1
218410,1,1,1
218510,0,1,1
218620,1,0,1
218640,0,0,1
218660,1,1,1
218680,0,0,1
218700,0,0,1
218740,0,1,1
218820,1,1,1
219070,0,1,1
219150,1,1,1
219190,1,1,1
219200,1,1,1
219340,0,1,1
219640,1,1,1
219680,1,1,1
219700,0,0,1
219760,0,0,1
219780,0,0,1
219830,1,1,1
219890,1,1,1
219910,1,1,1
219950,0,0,1
219990,0,0,1
220090,1,1,1
220160,0,0,1
220200,1,1,1
220240,0,0,1
220260,0,1,1
220420,0,1,1
220440,0,0,1
220460,1,1,1
220660,0,0,1
220700,0,0,1
220740,1,1,1
220780,0,1,1
220820,0,0,1
220860,0,1,1
220900,1,1,1
221020,0,1,1
221040,0,0,1
221100,0,0,1
221180,1,1,1
221260,1,1,1
221380,0,0,1
221540,0,0,1
221640,1,1,1
221680,0,1,1
221810,1,1,1
221830,1,1,1
221910,1,1,1
222140,1,1,1
222180,0,0,1
222420,0,0,1
222440,0,0,1
222480,0,0,1
222500,0,0,1
222520,1,1,1
222640,0,0,1
222730,1,1,1
222750,1,1,1
222880,1,1,1
222940,0,0,1
222980,0,0,1
223000,0,0,1
223100,0,0,1
223220,0,0,1
223280,0,0,1
223330,0,0,1
223410,0,0,1
223430,0,0,1
223450,0,0,1
223470,1,1,1
223490,0,0,1
223510,0,0,1
223710,0,0,1
223730,0,0,1
223750,0,0,1
223810,0,0,1
223830,1,1,1
224000,0,0,1
224040,0,0,1
224260,1,1,1
224300,0,0,1
224460,0,0,1
224480,1,1,1
224500,1,1,1
224600,0,0,1
224700,0,0,1
224740,0,1,1
